date,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLD
2023-01-01,3.0706,12.9,49.9,50.0
2023-01-02,1.849,12.26,51.83,50.0
2023-01-03,1.9087,9.98,54.61,50.0
2023-01-04,1.931,8.57,58.24,50.0
2023-01-05,1.7275,8.75,59.63,50.0
2023-01-06,2.359,8.74,54.41,50.0
2023-01-07,2.928,9.69,48.08,50.0
2023-01-08,2.6076,12.35,44.61,50.0
2023-01-09,2.2094,13.14,47.41,50.0
2023-01-10,2.4528,12.82,53.16,50.0
2023-01-11,2.5339,13.51,64.57,50.0
2023-01-12,3.1118,13.82,73.58,50.0
2023-01-13,2.1934,16.43,73.27,50.0
2023-01-14,2.8246,12.35,56.25,50.0
2023-01-15,4.3116,7.77,39.37,50.0
2023-01-16,4.1911,8.92,42.56,50.0
2023-01-17,4.129,8.98,42.16,50.0
2023-01-18,4.0874,9.25,37.57,50.0
2023-01-19,3.5753,11.7,44.03,50.0
2023-01-20,3.1001,13.01,55.44,50.0
2023-01-21,3.1925,14.18,59.32,50.0
2023-01-22,2.802,15.17,52.26,50.0
2023-01-23,2.9232,16.07,52.71,50.0
2023-01-24,1.5062,15.89,80.09,50.0
2023-01-25,1.087,16.17,80.75,50.0
2023-01-26,1.7513,14.78,61.48,50.0
2023-01-27,4.1558,11.84,49.23,50.0
2023-01-28,4.614,13.1,40.56,50.0
2023-01-29,0.948,14.95,45.38,50.0
2023-01-30,1.9882,13.12,71.39,50.0
2023-01-31,3.5784,14.2,75.93,50.0
2023-02-01,4.8019,13.03,60.64,50.0
2023-02-02,4.8605,14.1,51.38,50.0
2023-02-03,4.6536,15.01,49.12,50.0
2023-02-04,4.6913,16.33,47.67,50.0
2023-02-05,4.759,17.03,54.52,50.0
2023-02-06,4.663,18.89,43.21,50.0
2023-02-07,4.589,17.33,48.27,50.0
2023-02-08,4.8955,15.54,41.86,50.0
2023-02-09,4.7935,17.4,37.91,50.0
2023-02-10,4.7196,18.28,48.72,50.0
2023-02-11,4.4126,18.34,48.9,50.0
2023-02-12,5.2339,15.02,35.73,50.0
2023-02-13,5.436,14.46,30.08,50.0
2023-02-14,4.957,16.48,31.98,50.0
2023-02-15,5.1334,18.5,39.76,50.0
2023-02-16,4.7059,19.38,45.6,50.0
2023-02-17,4.175,21.16,44.72,50.0
2023-02-18,4.8288,21.1,40.2,50.0
2023-02-19,4.6927,22.42,30.93,50.0
2023-02-20,4.8874,22.51,35.46,50.0
2023-02-21,5.233,20.51,38.61,50.0
2023-02-22,4.1969,20.45,39.34,50.0
2023-02-23,5.4458,19.66,34.42,50.0
2023-02-24,4.8199,19.93,34.05,50.0
2023-02-25,5.3117,21.51,35.53,50.0
2023-02-26,5.219,23.46,31.11,50.0
2023-02-27,5.1809,23.2,36.6,50.0
2023-02-28,4.885,22.43,39.87,50.0
2023-03-01,4.0937,22.61,39.55,50.0
2023-03-02,5.3117,23.1,41.26,50.0
2023-03-03,5.4098,23.72,43.25,50.0
2023-03-04,3.4694,22.69,41.03,50.0
2023-03-05,5.5831,22.69,40.7,50.0
2023-03-06,5.8531,22.67,37.77,50.0
2023-03-07,5.5368,23.2,33.66,50.0
2023-03-08,5.165,24.22,32.63,50.0
2023-03-09,4.6795,23.56,41.47,50.0
2023-03-10,5.4799,23.32,38.86,50.0
2023-03-11,5.7888,24.21,30.56,50.0
2023-03-12,5.8301,25.53,31.8,50.0
2023-03-13,4.9498,24.72,36.35,50.0
2023-03-14,5.7737,25.13,37.5,50.0
2023-03-15,5.3234,26.49,31.49,50.0
2023-03-16,3.9216,25.37,35.87,50.0
2023-03-17,3.4195,24.25,46.96,50.0
2023-03-18,2.7504,21.62,61.9,50.0
2023-03-19,4.4347,23.36,53.65,50.0
2023-03-20,2.8474,20.68,68.31,50.0
2023-03-21,3.917,20.28,72.56,50.0
2023-03-22,5.063,21.96,55.12,50.0
2023-03-23,5.9832,23.38,48.37,50.0
2023-03-24,3.3989,24.32,52.51,50.0
2023-03-25,5.7487,23.57,57.77,50.0
2023-03-26,6.0355,24.1,46.74,50.0
2023-03-27,6.4301,22.77,43.64,50.0
2023-03-28,6.5054,23.61,40.02,50.0
2023-03-29,5.1557,26.11,36.38,50.0
2023-03-30,5.1943,25.95,46.76,50.0
2023-03-31,4.7059,21.15,76.48,50.0
2023-04-01,6.1466,22.84,61.31,50.0
2023-04-02,5.6446,24.2,51.41,50.0
2023-04-03,6.3432,26.08,47.68,50.0
2023-04-04,6.3442,24.87,50.88,50.0
2023-04-05,6.6713,24.94,42.52,50.0
2023-04-06,6.888,25.28,34.95,50.0
2023-04-07,6.6271,25.12,32.25,50.0
2023-04-08,7.2014,24.95,28.27,50.0
2023-04-09,7.2125,26.06,28.85,50.0
2023-04-10,6.8448,26.28,29.81,50.0
2023-04-11,7.1503,27.73,31.24,50.0
2023-04-12,6.493,29.67,33.94,50.0
2023-04-13,7.0416,29.32,32.07,50.0
2023-04-14,6.6024,30.25,28.77,50.0
2023-04-15,7.086,31.56,25.2,50.0
2023-04-16,6.6302,32.03,28.85,50.0
2023-04-17,7.3202,32.95,25.81,50.0
2023-04-18,7.0051,32.3,30.89,50.0
2023-04-19,6.3691,30.95,37.44,50.0
2023-04-20,6.2126,30.07,41.33,50.0
2023-04-21,6.2249,28.83,38.65,50.0
2023-04-22,7.1837,28.12,32.02,50.0
2023-04-23,4.7148,25.39,35.22,50.0
2023-04-24,5.7444,26.77,37.8,50.0
2023-04-25,6.6463,27.75,32.79,50.0
2023-04-26,5.7785,29.53,31.43,50.0
2023-04-27,5.569,28.14,35.13,50.0
2023-04-28,3.6036,28.32,38.21,50.0
2023-04-29,3.7274,27.53,43.24,50.0
2023-04-30,3.427,25.92,57.83,50.0
2023-05-01,2.1509,22.81,74.94,50.0
2023-05-02,3.8986,23.67,72.98,50.0
2023-05-03,4.0584,25.5,61.79,50.0
2023-05-04,6.7666,27.78,50.06,50.0
2023-05-05,6.3809,27.85,42.94,50.0
2023-05-06,5.9287,29.67,40.17,50.0
2023-05-07,6.6036,31.39,34.03,50.0
2023-05-08,7.0946,31.34,28.25,50.0
2023-05-09,7.8314,28.92,26.05,50.0
2023-05-10,7.9879,28.78,25.28,50.0
2023-05-11,7.7698,30.73,22.89,50.0
2023-05-12,7.6248,31.0,22.11,50.0
2023-05-13,7.2559,33.0,23.93,50.0
2023-05-14,6.5911,34.06,23.48,50.0
2023-05-15,7.2432,33.55,26.34,50.0
2023-05-16,5.7773,33.41,27.27,50.0
2023-05-17,5.9479,34.15,30.84,50.0
2023-05-18,6.9478,31.87,40.45,50.0
2023-05-19,7.7438,31.81,33.65,50.0
2023-05-20,7.7467,32.92,28.84,50.0
2023-05-21,7.4148,35.13,23.75,50.0
2023-05-22,7.2893,35.86,26.36,50.0
2023-05-23,6.8477,36.99,27.02,50.0
2023-05-24,4.3452,34.53,35.4,50.0
2023-05-25,6.6742,32.83,40.34,50.0
2023-05-26,6.4414,29.28,56.46,50.0
2023-05-27,5.4828,30.39,49.56,50.0
2023-05-28,5.8339,29.96,46.21,50.0
2023-05-29,4.8854,30.75,47.53,50.0
2023-05-30,6.4526,30.95,46.19,50.0
2023-05-31,6.3583,28.78,52.24,50.0
2023-06-01,5.6066,29.85,45.75,50.0
2023-06-02,7.2914,30.62,43.61,50.0
2023-06-03,7.439,31.11,38.11,50.0
2023-06-04,4.4054,28.31,44.91,50.0
2023-06-05,6.8832,32.41,38.38,50.0
2023-06-06,6.8004,33.34,35.91,50.0
2023-06-07,7.1326,33.67,33.3,50.0
2023-06-08,7.0534,34.33,33.32,50.0
2023-06-09,7.3123,35.76,32.22,50.0
2023-06-10,7.0382,36.9,34.46,50.0
2023-06-11,7.1081,36.48,35.48,50.0
2023-06-12,6.9454,36.84,34.05,50.0
2023-06-13,7.5607,38.15,32.25,50.0
2023-06-14,7.5067,37.41,32.56,50.0
2023-06-15,6.5059,35.85,37.49,50.0
2023-06-16,5.7166,35.69,40.38,50.0
2023-06-17,5.7811,35.92,38.57,50.0
2023-06-18,5.952,34.84,43.29,50.0
2023-06-19,3.2506,34.09,49.0,50.0
2023-06-20,6.2974,33.85,53.21,50.0
2023-06-21,5.2639,33.7,52.31,50.0
2023-06-22,5.2829,34.97,53.23,50.0
2023-06-23,4.5178,35.7,51.88,50.0
2023-06-24,3.378,33.25,61.75,50.0
2023-06-25,1.2562,30.18,75.39,50.0
2023-06-26,3.6425,31.51,64.3,50.0
2023-06-27,4.9092,31.99,58.87,50.0
2023-06-28,4.9634,32.08,62.15,50.0
2023-06-29,4.4066,31.34,65.67,50.0
2023-06-30,4.7052,30.53,71.64,50.0
2023-07-01,5.1842,30.63,67.02,50.0
2023-07-02,5.4358,32.32,60.67,50.0
2023-07-03,6.0828,33.95,51.79,50.0
2023-07-04,4.3003,34.74,52.13,50.0
2023-07-05,4.771,32.83,61.69,50.0
2023-07-06,3.3293,29.63,77.8,50.0
2023-07-07,4.3198,30.36,74.44,50.0
2023-07-08,2.233,29.26,83.53,50.0
2023-07-09,2.73,29.71,83.7,50.0
2023-07-10,3.5786,30.42,80.0,50.0
2023-07-11,3.7027,30.64,77.05,50.0
2023-07-12,4.1808,30.4,79.2,50.0
2023-07-13,4.571,29.91,79.74,50.0
2023-07-14,3.8376,29.44,81.43,50.0
2023-07-15,3.3977,29.23,81.91,50.0
2023-07-16,5.0786,30.7,73.97,50.0
2023-07-17,4.0428,31.66,72.45,50.0
2023-07-18,2.79,29.79,83.76,50.0
2023-07-19,5.7002,29.57,80.5,50.0
2023-07-20,6.6058,31.64,74.25,50.0
2023-07-21,4.4527,31.28,77.04,50.0
2023-07-22,5.1252,30.22,79.53,50.0
2023-07-23,5.9998,30.04,79.24,50.0
2023-07-24,6.2683,30.43,76.87,50.0
2023-07-25,4.8979,30.3,81.69,50.0
2023-07-26,2.1156,30.28,79.43,50.0
2023-07-27,5.1775,29.08,86.57,50.0
2023-07-28,3.9295,28.54,84.17,50.0
2023-07-29,4.1098,29.03,85.31,50.0
2023-07-30,5.6434,29.48,85.38,50.0
2023-07-31,5.4631,30.09,80.36,50.0
2023-08-01,6.4584,30.44,79.04,50.0
2023-08-02,4.7489,30.3,81.74,50.0
2023-08-03,4.9675,30.04,82.98,50.0
2023-08-04,2.85,29.47,86.9,50.0
2023-08-05,3.7608,29.14,87.47,50.0
2023-08-06,5.627,29.54,82.55,50.0
2023-08-07,4.7496,29.09,83.21,50.0
2023-08-08,4.596,29.18,83.34,50.0
2023-08-09,4.5809,29.4,82.24,50.0
2023-08-10,4.6927,29.41,80.94,50.0
2023-08-11,5.5046,29.61,79.76,50.0
2023-08-12,6.2587,29.26,77.8,50.0
2023-08-13,4.5031,29.14,79.32,50.0
2023-08-14,4.2653,27.32,84.72,50.0
2023-08-15,4.4794,29.0,79.44,50.0
2023-08-16,5.4125,29.69,78.71,50.0
2023-08-17,5.9333,30.09,78.77,50.0
2023-08-18,5.863,30.16,79.09,50.0
2023-08-19,3.7582,29.79,83.55,50.0
2023-08-20,6.085,30.75,76.48,50.0
2023-08-21,5.6045,30.84,74.77,50.0
2023-08-22,2.9712,29.98,83.99,50.0
2023-08-23,0.7843,28.24,88.99,50.0
2023-08-24,4.1777,28.21,82.74,50.0
2023-08-25,5.4744,28.5,79.39,50.0
2023-08-26,5.7442,28.9,76.79,50.0
2023-08-27,5.8356,28.74,75.44,50.0
2023-08-28,5.5814,29.43,75.67,50.0
2023-08-29,6.0814,29.29,75.3,50.0
2023-08-30,6.0269,29.1,76.36,50.0
2023-08-31,6.0252,29.34,74.95,50.0
2023-09-01,6.1046,29.48,70.49,50.0
2023-09-02,6.5234,28.86,69.4,50.0
2023-09-03,6.6182,28.73,67.26,50.0
2023-09-04,6.4594,29.01,68.92,50.0
2023-09-05,6.1351,29.8,73.61,50.0
2023-09-06,4.2245,30.11,69.81,50.0
2023-09-07,5.6858,30.38,66.06,50.0
2023-09-08,5.1353,29.12,72.01,50.0
2023-09-09,3.1711,27.89,83.45,50.0
2023-09-10,2.639,27.04,90.71,50.0
2023-09-11,4.3082,27.48,85.42,50.0
2023-09-12,4.7938,28.31,82.44,50.0
2023-09-13,4.8866,29.06,82.63,50.0
2023-09-14,5.111,29.45,83.88,50.0
2023-09-15,3.8407,28.93,84.72,50.0
2023-09-16,2.9573,26.82,87.34,50.0
2023-09-17,4.0807,26.98,89.83,50.0
2023-09-18,5.4024,27.24,84.07,50.0
2023-09-19,5.725,28.35,81.18,50.0
2023-09-20,5.429,29.3,77.3,50.0
2023-09-21,4.7767,29.58,76.85,50.0
2023-09-22,5.0549,29.17,78.5,50.0
2023-09-23,3.8275,28.81,80.88,50.0
2023-09-24,4.1249,28.26,79.68,50.0
2023-09-25,5.3609,28.61,74.11,50.0
2023-09-26,5.3134,27.77,73.99,50.0
2023-09-27,5.6443,26.75,73.12,50.0
2023-09-28,5.7991,25.73,73.62,50.0
2023-09-29,5.7343,25.83,63.19,50.0
2023-09-30,5.6186,26.26,61.83,50.0
2023-10-01,5.3038,25.55,62.69,50.0
2023-10-02,5.6604,25.44,58.1,50.0
2023-10-03,5.7799,24.21,54.42,50.0
2023-10-04,5.6294,24.48,59.09,50.0
2023-10-05,5.6566,25.43,62.27,50.0
2023-10-06,5.7629,25.17,59.55,50.0
2023-10-07,5.5255,26.32,59.96,50.0
2023-10-08,5.4271,27.71,58.28,50.0
2023-10-09,5.2634,28.38,61.7,50.0
2023-10-10,5.2466,27.98,62.97,50.0
2023-10-11,5.443,25.97,57.89,50.0
2023-10-12,5.3894,25.37,54.62,50.0
2023-10-13,5.141,26.34,50.78,50.0
2023-10-14,4.9361,27.22,49.83,50.0
2023-10-15,4.4597,26.61,54.6,50.0
2023-10-16,3.3792,23.96,69.61,50.0
2023-10-17,2.7847,23.67,62.92,50.0
2023-10-18,4.7347,22.55,62.52,50.0
2023-10-19,5.0645,22.6,59.88,50.0
2023-10-20,4.823,22.74,59.19,50.0
2023-10-21,4.6135,22.61,54.65,50.0
2023-10-22,4.3512,23.49,49.86,50.0
2023-10-23,4.3966,23.12,58.36,50.0
2023-10-24,4.403,23.67,57.87,50.0
2023-10-25,4.3603,23.59,56.08,50.0
2023-10-26,4.5991,23.14,56.8,50.0
2023-10-27,4.6858,23.26,46.05,50.0
2023-10-28,3.9223,24.05,46.53,50.0
2023-10-29,4.2878,24.41,46.55,50.0
2023-10-30,4.1561,24.15,51.63,50.0
2023-10-31,3.6442,24.23,52.61,50.0
2023-11-01,3.8654,25.21,45.91,50.0
2023-11-02,3.5741,23.52,48.95,50.0
2023-11-03,3.0338,23.21,52.72,50.0
2023-11-04,2.928,23.43,54.4,50.0
2023-11-05,2.455,22.91,44.19,50.0
2023-11-06,3.1147,22.99,40.14,50.0
2023-11-07,3.3228,22.76,40.98,50.0
2023-11-08,3.277,22.62,54.16,50.0
2023-11-09,2.893,23.5,53.03,50.0
2023-11-10,1.7489,21.76,60.4,50.0
2023-11-11,3.545,19.86,62.83,50.0
2023-11-12,3.9943,19.69,62.63,50.0
2023-11-13,3.3962,19.56,55.34,50.0
2023-11-14,2.3395,19.23,49.58,50.0
2023-11-15,2.701,18.79,56.24,50.0
2023-11-16,2.5246,20.29,54.99,50.0
2023-11-17,2.7547,20.89,54.19,50.0
2023-11-18,2.963,20.1,50.87,50.0
2023-11-19,2.9527,19.81,47.51,50.0
2023-11-20,2.8186,19.73,51.79,50.0
2023-11-21,2.8802,18.79,58.46,50.0
2023-11-22,3.1171,17.72,57.83,50.0
2023-11-23,3.4181,19.14,45.43,50.0
2023-11-24,3.0636,18.96,45.35,50.0
2023-11-25,2.5428,19.05,46.12,50.0
2023-11-26,2.4629,18.74,49.09,50.0
2023-11-27,1.3937,17.36,53.86,50.0
2023-11-28,1.3522,18.6,54.48,50.0
2023-11-29,2.3726,18.52,58.2,50.0
2023-11-30,2.237,19.59,62.39,50.0
2023-12-01,2.5951,20.56,62.8,50.0
2023-12-02,2.8579,18.99,63.91,50.0
2023-12-03,2.7934,18.8,59.65,50.0
2023-12-04,2.4785,19.11,62.34,50.0
2023-12-05,3.4346,18.09,58.35,50.0
2023-12-06,3.4651,18.16,52.21,50.0
2023-12-07,3.0362,18.32,50.68,50.0
2023-12-08,3.1351,17.01,51.16,50.0
2023-12-09,3.4639,16.11,46.4,50.0
2023-12-10,3.6518,15.25,45.78,50.0
2023-12-11,3.4882,15.48,40.43,50.0
2023-12-12,3.1442,15.92,41.94,50.0
2023-12-13,3.3746,15.54,41.68,50.0
2023-12-14,3.0679,14.26,48.47,50.0
2023-12-15,3.4104,16.05,44.56,50.0
2023-12-16,3.4637,15.46,45.53,50.0
2023-12-17,3.2364,14.65,49.26,50.0
2023-12-18,3.5424,13.86,54.58,50.0
2023-12-19,3.9072,13.17,47.23,50.0
2023-12-20,3.1034,12.97,44.1,50.0
2023-12-21,3.401,13.14,43.66,50.0
2023-12-22,3.1469,14.89,41.04,50.0
2023-12-23,2.6981,16.27,43.96,50.0
2023-12-24,2.5402,16.72,51.16,50.0
2023-12-25,2.8267,15.17,54.15,50.0
2023-12-26,2.6172,15.28,55.02,50.0
2023-12-27,2.0484,15.23,55.52,50.0
2023-12-28,1.9092,14.45,58.29,50.0
2023-12-29,0.9823,15.35,51.45,50.0
2023-12-30,1.4146,14.8,51.85,50.0
2023-12-31,0.6799,13.8,49.72,50.0
